Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,Y019690,Y019690 [END WASHER],2025-07-11,1,35,2025-06-03,180,154823
2,Y019691,Y019691 [BUSHING],2025-07-11,1,145,2025-06-03,180,154823
1,Y040402,Y040402 [LINER BRONZE DC350J],2021-05-03,2,1150,2021-03-23,2333,90685
2,8X20BS,8X20BS [BRASS SCREWS],2021-04-27,12,2.75,2021-03-23,2333,90685
1,695R1601,695R1601 [LOCK NUT],2020-11-30,1,47.5,2020-10-21,47.5,84182
1,459V5101,459V5101 [JIB PLATE],2020-11-11,4,320,2020-10-15,1280,83834
1,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2017-07-28,4,405,2017-06-30,1620,25995
1,Y006298,Y006298 [BEACASE],2024-07-31,1,325,2024-06-25,445,139416
2,Y006502,Y006502 [SPACER],2024-07-31,1,120,2024-06-25,445,139416
1,655S3602,655S3602 [BLOCK],2019-11-08,1,370,2019-10-11,740,68895
2,655S3601,655S3601 [BLOCK],2019-11-08,1,370,2019-10-11,740,68895
1,9X5163G01,9X5163G01 [COOLING PIPE ASSEMBLY],2021-03-16,1,395,2021-02-09,395,88785
1,S478872,S478872 [BRACKET 1 FOR EJECTOR ISGN 90 - 250],2025-07-18,4,250,2025-06-03,3215,154822
2,S478872,S478872 [BRACKET 1 FOR EJECTOR ISGN 90 - 250],2025-07-18,1,250,2025-06-03,3215,154822
3,TML0026,TML0026 [LINK PIN 1 FOR EC200SX SXII],2025-06-20,3,655,2025-06-03,3215,154822
1,N066877,N066877 [INJECTION BUSHING],2018-06-08,1,2145,2018-05-10,4345,42926
2,H319551,H319551 [SEAT C2G16],2018-06-08,1,2200,2018-05-10,4345,42926
1,Y026064,Y026064[GUIDE SHAFT] ,2017-11-30,4,75,2017-10-04,300,31076
1,L459974,L459974 [BARREL END CAP 40MM 4A 5A 7Y],2025-04-11,2,485,2025-03-04,970,150305
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2023-03-01,2,2325,2023-01-24,4650,115659
1,N020124,N020124 [LINER FOR DC2500CS2],2019-02-12,2,3450,2019-01-09,6900,55269
1,Y022704,Y022704[SPROCKET],2021-05-12,1,305,2021-04-14,685,91559
2,Y022701,Y022701 [SPROCKET],2021-05-12,1,380,2021-04-14,685,91559
